Field=#~Integer~#~50|Field=Comment~String~Comment~125|Field=Description~String~Description~125|Field=Designator~String~Designator~125|Field=Footprint~String~Footprint~125|Field=LibRef~String~LibRef~125|Field=Quantity~Integer~Quantity~125|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Cuk_30Gan_Grid_Project.PrjPcb|ReportField=ProjectFullPath~C:\Users\Harshit\Desktop\1222017\20102017\all pcbs\garbage2\Main Boards\Power Board\Cuk_30Gan_Grid_Project.PrjPcb|ReportField=Title~Bill of Materials For Project [Cuk_30Gan_Grid_Project.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~392|ReportField=ReportTime~1:28:06 PM|ReportField=ReportDate~2/21/2018|ReportField=ReportDateTime~2/21/2018 1:28:06 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2/21/2018|ReportField=CurrentTime~1:27:58 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Harshit\Desktop\1222017\20102017\all pcbs\garbage2\Main Boards\Power Board\Gate_Drivers.SchDoc|ReportField=DocumentName~Gate_Drivers.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2/21/2018|ReportField=Organization~|ReportField=ProjectName~Cuk_30Gan_Grid_Project.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Cuk_30Gan_Grid_Project.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Harshit\Desktop\1222017\20102017\all pcbs\garbage2\Main Boards\Power Board\Cuk_30Gan_Grid_Project.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
26|8.2 v|DZ23C8V2-7-F|ZD1, ZD2, ZD3, ZD4, ZD5, ZD6, ZD7, ZD8, ZD9, ZD10, ZD11, ZD12, ZD13, ZD14|Zener Diode|Zener_diode|14
27|CMC-08|Common mode choke|CM1, CM2|CMC-08|CMC-08|2
28|SR NOR Latch|CD4043BDR|Latch1, Latch2|SR latch|SR Latch|2
29|16V|Capacitor (Semiconductor SIM Model)|C60, C74, C79, C82, C83, C88, C90, C92, C93, C94, C95|C1206|Cap Semi|11
30|Cap Semi|Capacitor (Semiconductor SIM Model)|C61, C65, C66, C68|C1206|Cap Semi|4
31|Cap|Capacitor|C96, C97, C100, C101, C105, C107|Capacitor 0805|Cap|6
32|20K|3296W-1-253LF|Pot1, Pot2, Pot3|Pot|TRIM POT|3
33|100nF||C16, C17, C18, C19, C26, C27, C28, C29, C36, C37, C38, C39, C40, C41, C43, C44, C45, C46, C47, C49, C50, C51, C52, C54, C55, C57, C75, C76, C77, C80, C81|Cap_SMD|Cap_SMD|31
34|15 ohm||RSP3|Res-RS|Res_Rd|1
35|15uF||Cd1, Cd2, Cd3|Cd|Cd|3
36|22uF||C42, C53, C56, C72|Cap_tantalum|Cap_tantalum|4
37|22uF/25V||C48|Cap_tantalum|Cap_tantalum|1
38|2input or595-SN74AS32DR||2|2inputor|2 input OR|1
39|560p||Cs2|Cap-Cs|Cap-CS|1
40|560pF||Cs3|Cap-Cs|Cap-CS|1
41|990pF||Cs1|Cap-Cs|Cap-CS|1
42|ACS712-05||Current_Sense1, Current_Sense2, Current_Sense3, Current_Sense4|SOIC-8|Current Sensor 5A|4
43|Auxilary connector||Logic supply1|Auxlilary connector|Auxilary connector|1
44|Cap cdv16ff101j03||Cs4|Cap-Cs|Cap-CS|1
45|Cap DPPM10S22K-F||Csnub1, Csnub2|Cap-Csnub|Cap-Csnub|2
46|Cap_CP||CP1, CP2, CP4|Cap_cp|Cap_CP|3
47|Cap_CP||CP3|Cap_cp - small|Cap_CP|1
48|Cd||Cd4|Cd|Cd|1
49|Component_1||Con1, Con2, Con4, Con5, Con6, Con8|PCBComponent_1|Component_1|6
50|Connector 60A||Load1|Connector_60A|Connector 60A|1
51|Control Board||1|Control Board|Control Board|1
52|DC Input||U1|P-terminal 3|P-Terminal 3|1
53|Dig opto SI8421BB-D-IS||digitalopt1, digitalopt2, digitalopt3|SO8 TS27l2|Digital Isolator|3
54|Grid Input for sense||Grid1|Auxlilary connector|Auxilary connector|1
55|GS66508B||GaN1, GaN2, GaN3, GaN4, GaN5, GaN6, GaN7, GaN8|GS66508B|GS66508B|8
56|Heat sink||Heat Sink1|Heat Sink|Heat sink|1
57|inductor||L1|Inductor_small|inductor|1
58|inductor||L2|Inductor_small_mirror|inductor|1
59|Inductor smd||L_snub1, L_snub2|Inductor surface mount|Inductor smd|2
60|Inductor_output||Ls1, Ls2|Inductor output|Inductor_output|2
61|IXDD609SI||Gate_Driver1, Gate_Driver2, Gate_Driver3, Gate_Driver4|Gate driver _low side|Gate driver low side|4
62|Jumper Vin||U2|P-Terminal 2|P-Terminal 2|1
63|MEJ2S1212SC||MEJ1, MEJ2|MEJ2|Power supply2|2
64|NCS6S4812C||Power1|Power_main|Power_main|1
65|NMH1209SC||NMH1|NMH1209SC|NMH----SC_1|1
66|Output_cap||C3, C4, C5, C6, C7, C10, C11, C12, C13, C14, C15, C24, C25, C34, C35|Output cap|Output_cap|15
67|pcb CONNECTOR||Con3, Con7|PCB_CONNECTOR|pcb CONNECTOR|2
68|p_jumper||Jumper1, Jumper2|Header1*3|p_jumper|2
69|REF5025AIDR||4|REF52.5|REF5025AIDR|1
70|Res_Rd||RSP1, RSP2, RSP4|Res-RS|Res_Rd|3
71|Sense Resistor||Rsense1|Sense resistor|Sense Resistor|1
72|Test Point||TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP40, TP41, TP42, TP43, TP44, TP45, TP46, TP47, TP48, TP49, TP50, TP51, TP52, TP53, TP54|Test Point|Test Point|54
73|Transformer||T1, T2|Transformer|Transformer|2
74|XC6216C202PR-G||XC1, XC2, XC3|SOT-89-5|power supply|3
